Size (bp),F1: 1,F2: 2,F3: 3,F4: 4,F5: 1,F6: 2,F7: 3,F8: 4,F9: SampF9,F10: SampF10,F11: SampF11,F12: ladder
1104.96,-16.83,612.30,245.48,841.47,-6.64,802.27,184.61,355.25,0.50,13.08,-9.16,-3.17
1106.65,-15.89,624.48,242.69,868.37,-6.40,810.27,187.85,324.21,-0.35,16.55,-10.52,-1.29
1108.33,-18.10,628.45,239.90,916.26,-11.34,819.10,204.65,312.69,1.87,20.64,-9.73,2.41
1110.01,-19.74,633.07,221.12,956.96,-14.66,831.49,213.05,324.55,2.13,23.21,-7.40,6.83
1111.69,-19.56,644.73,208.72,960.25,-10.93,843.65,206.60,348.25,-0.47,21.96,-8.01,9.19
1113.37,-18.14,659.95,217.35,929.85,-3.12,852.62,199.85,367.87,-0.62,17.99,-12.43,5.82
1115.05,-15.35,673.29,240.12,897.53,1.45,861.31,205.39,376.08,3.79,15.21,-16.01,-1.30
1116.73,-12.44,683.76,259.31,885.95,0.80,873.04,223.06,379.38,7.62,15.19,-16.12,-4.99
1118.41,-11.95,693.84,265.21,893.35,-0.17,885.29,241.34,387.52,6.10,14.95,-14.80,-3.38
1120.10,-14.04,706.11,261.39,899.58,1.12,894.68,246.53,399.09,0.68,11.53,-13.89,-0.68
1121.78,-15.98,719.84,254.75,905.81,1.22,903.50,243.05,405.63,-3.42,6.25,-12.14,1.92
1123.46,-16.01,731.50,246.68,912.35,-0.75,913.29,245.59,406.20,-4.02,1.71,-9.00,5.31
1125.14,-14.96,738.96,238.12,907.63,-1.32,919.39,249.62,405.40,-3.24,-1.85,-7.61,6.28
1126.82,-13.38,744.26,235.11,891.95,-1.58,919.33,253.64,401.03,-2.00,-3.84,-9.40,1.99
1128.50,-11.46,752.28,242.39,877.43,-5.44,919.37,260.32,388.32,0.15,-1.86,-11.60,-4.20
1130.18,-12.13,764.18,257.83,881.56,-10.77,926.27,269.57,372.83,1.83,3.45,-12.18,-7.45
1131.87,-16.99,775.18,273.71,905.52,-13.37,939.39,285.85,365.96,2.40,7.37,-10.04,-6.31
1133.55,-22.04,782.03,280.58,925.60,-14.69,955.47,302.38,369.27,3.18,7.15,-5.08,-0.96
1135.23,-24.23,785.79,275.81,915.51,-18.02,972.89,308.82,374.93,3.67,4.93,-1.60,6.74
1136.91,-25.27,787.48,270.05,878.62,-22.30,989.50,304.48,382.19,1.74,3.49,-2.60,12.65
1138.59,-26.40,788.78,280.00,842.32,-23.72,1004.44,297.59,396.53,-1.66,2.68,-4.34,13.99
1140.27,-27.19,793.82,310.08,824.57,-20.73,1020.96,295.25,412.55,-2.99,1.24,-3.62,10.87
1141.95,-27.41,806.25,341.77,832.23,-15.45,1039.83,301.42,418.96,-1.38,-0.45,-2.06,5.76
1143.63,-26.00,826.50,352.95,874.02,-11.49,1054.36,314.19,413.02,0.52,-0.99,-0.73,3.20
1145.32,-22.87,848.66,345.78,938.21,-10.89,1059.66,319.92,398.45,-0.16,-0.39,0.55,4.15
1147.00,-20.82,863.22,337.77,981.32,-13.59,1060.58,308.81,386.58,-3.09,-0.41,-0.27,4.95
1148.68,-21.73,870.19,333.44,974.32,-18.46,1063.60,294.05,393.17,-4.48,-1.57,-5.69,4.44
1150.36,-22.57,879.77,324.67,938.30,-22.32,1068.21,296.41,417.34,-3.16,-2.46,-14.77,3.28
1152.04,-18.00,895.84,311.05,912.68,-21.08,1070.88,316.32,438.34,-3.15,-2.39,-22.16,0.27
1153.72,-8.48,912.35,302.89,911.41,-15.26,1073.12,335.27,439.96,-4.93,-1.31,-22.66,-3.53
1155.40,-2.63,924.71,305.27,926.54,-10.79,1083.63,341.43,425.30,-4.17,1.87,-18.50,-4.75
1157.09,-6.30,933.67,313.95,948.40,-11.39,1109.38,343.40,406.54,-2.01,7.17,-15.83,-3.04
1158.77,-13.03,940.66,331.75,965.85,-13.60,1143.56,358.78,391.10,-3.13,10.79,-15.37,-0.79
1160.45,-13.70,945.67,366.35,970.86,-12.09,1170.20,393.11,380.64,-6.17,9.12,-15.10,-1.04
1162.13,-10.30,949.69,400.79,965.39,-7.28,1182.17,427.51,375.66,-6.73,3.99,-15.74,-4.68
1163.81,-10.66,955.85,403.70,946.60,-4.27,1187.64,435.39,378.92,-4.71,-0.68,-18.27,-7.24
1165.49,-15.31,966.29,379.42,910.85,-6.11,1199.18,414.53,392.87,-2.81,-4.30,-21.76,-4.99
1167.17,-18.86,979.87,360.88,877.77,-11.11,1220.47,384.56,408.65,-1.96,-7.05,-24.07,-1.68
1168.85,-20.92,993.19,356.48,873.78,-15.54,1244.51,357.16,409.93,-2.22,-6.96,-23.94,-1.91
1170.54,-26.00,1004.54,350.41,898.81,-17.50,1264.87,330.72,399.91,-4.63,-2.46,-22.14,-3.13
1172.22,-32.72,1016.27,339.27,928.36,-17.38,1282.92,307.08,408.15,-8.00,4.34,-19.12,-0.97
1173.90,-35.55,1031.18,334.93,941.13,-15.51,1301.47,294.57,450.24,-9.17,8.32,-15.65,2.02
1175.58,-35.71,1050.12,346.03,941.89,-13.52,1318.03,296.62,471.08,-8.62,6.63,-15.25,0.84
1177.26,-37.13,1073.06,369.53,946.13,-15.13,1327.42,308.45,491.92,-9.13,2.49,-19.49,-2.73
1178.94,-37.88,1097.15,388.77,950.95,-20.76,1329.14,323.15,483.86,-10.39,0.81,-24.04,-3.14
1180.62,-36.32,1115.78,384.15,950.61,-25.64,1331.13,333.12,428.57,-10.15,1.92,-24.65,0.78
1182.31,-34.71,1125.95,358.39,955.14,-26.29,1343.50,332.51,375.36,-8.33,3.46,-22.58,5.86
1183.99,-32.13,1133.79,337.66,968.83,-24.32,1369.74,324.78,357.28,-6.48,6.06,-20.47,10.18
1185.67,-27.28,1147.23,337.29,981.25,-22.45,1405.05,317.69,371.44,-3.92,11.16,-18.31,14.40
1187.35,-24.90,1166.24,345.17,984.41,-20.71,1440.83,312.77,402.12,1.10,15.77,-14.75,19.23
1189.03,-27.06,1183.66,345.27,978.47,-18.29,1473.47,309.55,431.93,6.12,16.30,-9.19,24.20
1190.71,-28.45,1195.28,338.97,969.53,-15.11,1507.24,310.46,447.64,6.39,14.36,-3.68,27.09
1192.39,-25.84,1206.03,340.21,964.75,-10.44,1544.35,315.22,448.34,2.66,12.26,-1.25,25.20
1194.08,-21.08,1222.56,358.00,965.44,-4.64,1581.24,319.82,442.67,0.69,9.26,-2.03,19.75
1195.76,-17.62,1243.53,370.69,974.75,-2.19,1615.21,321.52,440.82,2.41,5.70,-4.52,15.54
1197.44,-18.54,1264.13,383.38,1001.12,-7.30,1645.24,319.99,446.74,4.21,3.96,-7.27,14.31
1199.12,-22.58,1284.57,398.27,1036.17,-16.37,1672.29,316.60,452.25,4.09,4.94,-8.68,13.03
1200.80,-25.33,1307.67,397.67,1050.34,-21.97,1701.90,316.04,444.64,3.12,7.39,-9.63,9.98
1202.48,-25.88,1331.93,391.05,1033.89,-22.07,1736.49,323.15,423.70,0.97,9.81,-12.78,7.92
1204.16,-26.58,1353.77,385.32,1018.56,-18.61,1769.18,333.19,403.47,-3.11,11.47,-17.34,10.64
1205.84,-28.14,1375.47,379.71,1033.76,-13.38,1795.15,334.36,398.34,-7.82,11.90,-19.44,18.35
1207.53,-29.99,1402.49,375.15,1068.76,-9.63,1821.15,326.94,412.01,-11.59,10.88,-16.57,25.74
1209.21,-32.60,1433.95,376.50,1104.60,-10.56,1855.45,324.78,434.41,-13.53,8.65,-9.76,25.58
1210.89,-35.98,1462.98,383.63,1148.93,-14.86,1896.21,333.72,449.16,-12.50,5.52,-3.35,17.55
1212.57,-37.81,1483.63,390.31,1204.90,-18.32,1938.28,348.41,449.34,-8.11,2.75,-2.02,11.20
1214.25,-35.38,1496.68,394.05,1244.15,-18.66,1985.06,366.80,443.20,-2.12,2.03,-5.99,13.82
1215.93,-29.69,1511.86,399.54,1246.15,-16.05,2041.29,385.98,441.58,2.89,2.25,-10.54,20.07
1217.61,-25.32,1536.88,409.84,1222.96,-11.50,2098.62,395.59,447.12,6.60,0.65,-12.25,21.51
1219.30,-25.80,1566.76,419.62,1190.62,-7.27,2144.19,391.18,462.18,9.98,-2.22,-12.95,19.31
1220.98,-30.45,1594.86,423.55,1159.56,-6.71,2177.56,379.84,491.67,11.78,-3.01,-13.87,19.37
1222.66,-35.04,1626.62,425.33,1145.63,-10.97,2205.83,369.69,526.44,10.62,0.11,-12.34,22.26
1224.34,-35.05,1669.53,430.84,1156.71,-16.77,2231.94,366.86,545.11,8.04,5.83,-8.14,24.62
1226.02,-30.47,1718.59,440.44,1180.27,-19.16,2254.84,377.78,540.87,4.61,11.83,-5.18,25.28
1227.70,-26.15,1764.19,453.16,1202.15,-15.34,2271.28,401.95,527.98,-1.07,17.56,-5.26,25.80
1229.38,-25.37,1803.34,469.26,1228.27,-5.81,2278.89,427.30,523.02,-6.52,22.59,-6.82,27.58
1231.06,-25.39,1834.22,484.17,1274.46,4.46,2284.16,443.47,531.64,-7.59,23.54,-7.99,30.04
1232.75,-22.43,1854.38,489.84,1338.43,7.83,2299.89,450.02,546.95,-5.16,18.55,-6.10,31.60
1234.43,-17.57,1866.62,487.05,1398.52,2.15,2330.99,456.57,555.69,-1.76,11.71,-0.03,31.88
1236.11,-14.02,1873.16,484.92,1440.52,-5.02,2372.36,480.90,552.29,2.45,7.57,5.69,31.88
1237.79,-12.73,1871.09,489.22,1462.88,-6.34,2418.10,516.37,546.25,6.14,6.22,6.91,32.51
1239.47,-12.73,1861.70,502.69,1460.71,-5.00,2460.05,545.96,551.70,7.49,5.55,5.58,32.71
1241.15,-11.52,1854.42,527.68,1439.73,-7.96,2485.29,560.54,572.08,8.18,4.45,3.57,30.71
1242.83,-7.87,1859.73,558.09,1432.44,-14.31,2486.02,570.50,596.18,9.41,4.24,-0.88,27.61
1244.52,-6.51,1882.44,578.92,1459.54,-18.07,2468.62,587.03,608.58,8.68,6.07,-7.21,26.25
1246.20,-12.06,1920.58,581.82,1495.83,-16.81,2448.63,607.83,607.58,5.47,8.13,-11.22,27.25
1247.88,-18.17,1970.48,575.15,1510.77,-12.95,2435.95,622.09,609.29,3.44,9.69,-11.88,29.25
1249.56,-15.62,2028.65,573.11,1511.02,-10.12,2428.45,620.09,625.19,5.17,12.58,-12.30,31.06
1251.24,-9.13,2086.82,578.16,1516.60,-9.15,2422.78,601.74,643.23,8.44,15.42,-13.25,32.25
1252.92,-8.97,2132.65,582.83,1531.30,-7.41,2421.35,576.30,644.85,9.12,14.98,-13.36,35.08
1254.60,-13.42,2156.41,587.13,1546.66,-2.33,2428.64,553.90,631.04,6.40,12.98,-13.73,43.22
1256.29,-15.43,2156.80,600.14,1550.69,5.21,2451.92,543.33,615.67,2.36,13.32,-15.20,54.54
1257.97,-14.86,2144.03,623.16,1541.53,10.61,2496.59,548.91,603.21,-1.44,15.57,-14.93,62.19
1259.65,-15.32,2130.06,644.80,1541.02,9.15,2553.47,563.38,589.96,-3.34,15.75,-10.68,63.74
1261.33,-18.25,2119.50,656.14,1570.61,1.83,2607.89,575.95,577.40,-2.34,11.16,-5.23,61.93
1263.01,-22.05,2115.42,661.16,1603.46,-5.50,2659.53,585.42,569.77,0.15,3.58,-3.25,60.74
1264.69,-24.65,2120.64,669.27,1579.00,-8.88,2716.36,596.09,566.67,1.88,-2.13,-5.11,62.73
1266.37,-26.25,2135.24,685.01,1488.21,-8.47,2778.19,606.62,566.76,1.40,-3.65,-6.80,65.89
1268.05,-27.33,2160.82,704.26,1393.92,-6.35,2838.72,612.02,570.45,0.77,-3.02,-5.73,66.15
1269.74,-26.73,2197.89,715.22,1346.75,-4.95,2894.72,614.47,575.46,3.55,-2.54,-3.80,63.78
1271.42,-24.02,2243.51,708.58,1337.67,-6.20,2948.05,622.05,577.41,7.09,-2.48,-4.68,64.80
1273.10,-22.90,2298.75,689.70,1340.55,-10.22,3005.52,634.16,574.12,6.33,-2.01,-8.07,76.45
1274.78,-21.78,2366.11,673.67,1347.22,-14.48,3073.60,640.49,565.92,3.26,0.09,-8.49,101.97
1276.46,-23.53,2440.77,667.36,1358.58,-16.77,3148.35,638.65,559.48,2.50,4.08,-4.44,143.56
1278.14,-27.93,2517.26,665.85,1374.86,-17.35,3219.97,637.43,563.46,3.69,8.82,-1.97,209.42
1279.82,-29.13,2598.33,667.17,1393.91,-15.51,3290.08,638.77,571.87,3.31,13.01,-4.38,313.47
1281.51,-24.92,2687.27,677.17,1407.80,-10.22,3372.96,636.06,573.49,-0.03,15.40,-8.02,468.88
1283.19,-18.57,2777.36,700.61,1410.14,-4.32,3477.72,631.50,574.59,-3.41,15.60,-10.02,681.54
1284.87,-13.45,2858.36,717.44,1410.59,0.18,3596.12,635.92,587.60,-2.80,14.41,-11.42,954.38
1286.55,-11.11,2931.93,734.26,1428.14,5.44,3710.29,653.34,610.47,2.15,12.44,-12.78,1292.62
1288.23,-10.71,3007.36,764.40,1466.30,11.35,3812.44,677.98,630.18,7.56,9.69,-12.06,1686.82
1289.91,-9.10,3084.41,778.46,1511.17,14.89,3911.32,701.28,640.44,9.67,7.26,-8.04,2102.81
1291.59,-5.15,3157.79,782.05,1546.00,15.34,4018.48,716.06,650.70,9.04,6.90,-3.23,2505.07
1293.27,-1.65,3230.22,786.50,1552.62,13.54,4136.32,719.68,667.39,8.90,6.85,-0.69,2870.40
1294.96,-0.17,3304.05,787.45,1529.94,10.52,4256.73,717.90,682.60,9.96,4.07,0.04,3170.70
1296.64,0.78,3374.45,779.88,1516.45,7.59,4369.63,723.65,694.71,10.37,1.88,0.68,3368.17
1298.32,1.13,3442.64,777.12,1554.56,4.38,4479.17,744.04,708.61,8.98,5.75,0.76,3433.81
1300.00,-1.69,3518.55,792.53,1636.07,0.69,4601.82,768.40,720.69,5.88,12.70,-0.42,3356.39
1301.00,-7.44,3602.73,817.13,1710.57,-0.54,4744.76,782.99,730.87,3.20,15.70,-2.00,3142.11
1324.26,-13.09,3683.05,832.44,1751.96,2.65,4901.97,792.98,741.71,3.60,14.54,-2.79,2822.63
1347.52,-16.78,3754.47,835.28,1791.67,7.69,5069.51,812.29,746.67,5.70,14.02,-2.15,2452.50
1370.78,-16.50,3827.09,836.11,1854.01,11.48,5245.28,844.79,750.63,6.01,15.69,-0.92,2082.44
1394.04,-12.17,3911.56,840.63,1904.14,13.69,5419.90,885.00,769.06,4.52,16.49,-1.48,1739.55
1417.30,-9.88,4009.57,847.38,1912.71,14.55,5587.39,918.48,794.62,3.82,14.59,-4.01,1436.44
1440.56,-13.36,4122.64,859.47,1910.20,12.17,5756.92,925.96,808.77,5.13,12.55,-5.52,1185.41
1463.82,-17.48,4258.36,884.33,1935.82,6.33,5939.45,906.80,815.34,6.87,12.07,-4.49,994.74
1487.07,-16.77,4418.07,922.44,1993.57,1.98,6129.20,887.97,829.72,6.95,11.81,-2.42,858.18
1510.33,-11.03,4586.87,964.18,2072.03,2.63,6308.53,897.69,855.92,6.46,11.27,-1.61,757.03
1533.59,-3.35,4745.69,996.81,2162.01,5.79,6469.47,939.40,890.54,7.89,10.47,-3.34,672.61
1556.85,2.31,4887.72,1011.91,2253.92,8.51,6622.28,992.13,931.12,10.08,8.89,-5.90,594.59
1580.11,4.78,5017.56,1011.94,2338.42,10.57,6779.53,1029.96,973.68,10.29,8.67,-5.38,522.51
1603.37,6.33,5139.63,1011.76,2375.02,12.25,6939.25,1043.59,1013.15,8.92,12.05,-1.34,461.06
1626.63,10.07,5253.58,1025.55,2411.63,13.73,7089.44,1046.37,1047.71,7.88,16.86,1.84,409.97
1649.89,15.84,5359.18,1052.96,2478.32,14.84,7222.71,1059.01,1076.61,7.57,20.34,1.20,362.61
1673.15,16.57,5459.38,1084.81,2543.90,14.77,7339.15,1090.28,1097.81,7.62,22.74,-0.86,315.22
1696.41,7.67,5555.66,1117.28,2607.87,13.58,7440.04,1133.55,1114.39,8.12,25.08,-0.66,270.85
1719.67,-2.36,5646.04,1153.69,2675.02,12.55,7525.91,1177.41,1125.98,9.67,27.58,1.62,234.82
1742.93,-4.95,5733.10,1194.15,2750.04,12.35,7597.74,1216.69,1137.57,12.78,29.08,2.69,209.35
1766.19,-4.69,5827.71,1230.93,2817.96,13.07,7658.88,1254.72,1173.13,16.54,27.08,0.91,192.05
1789.45,-7.97,5933.28,1259.80,2865.80,15.68,7716.55,1296.43,1210.40,18.83,21.15,-2.07,178.09
1812.71,-12.48,6032.27,1287.32,2909.10,20.19,7777.01,1341.98,1233.00,17.80,14.06,-3.93,163.98
1835.97,-13.38,6105.45,1317.70,2965.52,24.00,7839.90,1364.84,1233.39,13.21,7.76,-4.20,150.53
1859.22,-8.74,6155.15,1344.56,3026.16,23.69,7898.18,1387.71,1213.77,7.64,2.83,-4.55,140.46
1882.48,0.78,6196.24,1365.19,3071.43,18.28,7940.79,1429.09,1184.78,4.24,1.02,-6.15,134.37
1905.74,10.59,6238.92,1389.02,3095.80,10.15,7960.06,1462.81,1165.99,3.30,2.66,-7.49,130.08
1929.00,13.44,6282.61,1424.85,3106.79,2.79,7959.15,1489.53,1175.22,3.32,4.50,-6.77,124.36
1952.26,6.49,6317.49,1469.25,3110.68,-1.84,7951.03,1513.01,1211.18,2.85,4.64,-4.39,116.75
1975.52,-6.09,6343.60,1511.71,3108.38,-2.83,7954.56,1537.58,1251.13,1.16,4.37,-3.34,109.60
1998.78,-17.14,6379.03,1547.40,3099.72,0.55,7982.94,1566.59,1272.18,-0.71,4.01,-6.98,102.92
2022.04,-20.06,6430.61,1580.50,3084.08,7.03,8023.22,1596.39,1274.47,-1.85,3.49,-14.03,96.93
2045.30,-13.66,6481.92,1614.50,3063.38,13.38,8046.33,1619.11,1272.93,-2.84,4.71,-19.37,96.88
2068.56,-5.63,6522.20,1646.00,3049.94,18.19,8047.47,1638.88,1273.14,-2.85,7.52,-19.94,106.01
2091.82,-3.94,6557.25,1671.20,3055.24,21.69,8049.64,1665.05,1272.67,-0.80,7.92,-16.02,118.62
2115.08,-7.01,6591.82,1692.14,3069.49,22.29,8067.50,1689.44,1274.15,1.24,4.14,-11.47,126.24
2138.34,-9.85,6627.27,1712.44,3077.75,18.96,8096.95,1697.79,1280.00,1.34,-0.05,-11.27,126.52
2161.60,-13.50,6670.18,1730.85,3084.74,14.75,8133.74,1696.68,1284.38,0.41,-0.05,-14.17,124.20
2184.86,-19.98,6725.62,1744.92,3096.16,13.12,8178.96,1703.90,1281.41,-0.21,4.68,-14.89,123.62
2208.11,-25.61,6787.89,1759.66,3100.61,14.08,8228.30,1722.12,1276.18,0.64,10.61,-12.56,123.04
2231.37,-25.75,6847.71,1783.61,3089.94,15.04,8272.75,1738.86,1278.00,3.51,13.31,-9.60,120.20
2254.63,-21.06,6900.85,1812.73,3073.59,13.60,8315.04,1742.42,1286.20,6.32,11.44,-7.01,117.87
2277.89,-16.27,6947.33,1822.03,3070.05,11.34,8366.00,1731.64,1292.89,7.05,8.09,-5.38,119.16
2301.15,-14.20,6992.32,1831.34,3098.80,12.15,8425.15,1716.99,1292.81,6.85,7.23,-5.74,123.70
2324.41,-13.59,7044.78,1836.06,3164.34,15.97,8489.99,1712.30,1285.32,6.05,8.73,-7.33,129.28
2347.67,-12.46,7108.75,1839.69,3232.80,18.61,8568.68,1723.69,1275.64,2.83,9.41,-7.88,132.94
2370.93,-10.58,7179.55,1849.24,3251.92,16.67,8656.52,1745.80,1272.44,-0.58,8.82,-7.13,133.44
2394.19,-8.29,7247.12,1861.86,3216.92,12.16,8727.45,1766.41,1279.65,0.33,9.05,-7.39,132.61
2417.45,-5.49,7304.10,1876.25,3184.98,11.08,8770.93,1775.79,1295.93,4.35,9.61,-8.72,133.10
2440.71,-2.97,7354.01,1891.35,3202.19,15.13,8803.84,1772.45,1321.97,6.17,8.45,-8.26,136.32
2463.97,-2.06,7407.09,1901.17,3254.90,21.41,8832.52,1760.62,1355.57,4.16,6.18,-5.98,140.85
2487.23,-2.76,7468.60,1899.80,3310.98,31.73,8845.88,1746.34,1377.17,1.40,4.38,-4.60,143.73
2510.49,-4.39,7534.07,1890.47,3357.81,50.62,8850.71,1735.28,1364.42,0.83,3.69,-4.46,145.64
2533.75,-6.18,7591.64,1885.84,3385.17,73.38,8872.79,1728.01,1329.25,2.69,5.49,-3.99,150.42
2557.01,-7.99,7633.14,1895.64,3383.40,90.28,8924.92,1719.89,1309.76,6.48,10.58,-2.99,157.93
2580.26,-10.80,7666.45,1915.16,3366.53,100.18,9001.25,1712.72,1319.33,11.82,17.03,-1.56,164.12
2603.52,-13.32,7705.39,1927.87,3363.95,107.41,9091.96,1715.58,1335.67,16.13,22.08,0.33,168.25
2626.78,-12.16,7749.89,1923.56,3396.15,111.75,9182.92,1724.36,1337.46,16.17,23.68,0.91,171.91
2650.04,-6.44,7789.26,1913.45,3460.65,110.68,9254.17,1721.79,1325.79,13.37,20.53,-0.67,173.11
2673.30,2.14,7819.09,1913.94,3522.34,105.47,9295.15,1704.54,1317.72,12.25,14.04,-1.46,170.35
2696.56,9.63,7842.46,1916.90,3542.37,100.67,9315.73,1684.46,1328.94,13.36,8.65,0.15,168.67
2719.82,11.06,7858.78,1900.23,3532.59,99.04,9335.81,1666.99,1352.19,13.65,7.55,1.30,172.91
2743.08,7.94,7863.72,1866.30,3540.60,97.94,9362.84,1650.67,1363.22,11.98,11.25,-0.35,178.88
2766.34,7.46,7860.27,1842.41,3583.50,93.37,9385.91,1636.51,1355.81,9.43,18.42,-3.24,179.99
2789.60,11.36,7859.21,1840.46,3638.21,87.27,9395.61,1626.11,1348.35,7.37,25.00,-4.69,177.16
2812.86,14.35,7862.58,1840.53,3680.84,84.91,9394.66,1618.76,1353.65,7.53,27.13,-4.63,175.38
2836.12,13.32,7855.80,1824.94,3708.59,87.01,9382.86,1613.64,1362.71,9.99,25.79,-5.52,177.21
2859.38,11.54,7824.81,1803.01,3738.34,91.61,9350.49,1614.03,1362.29,12.42,24.33,-8.42,182.56
2882.64,11.97,7772.94,1788.51,3782.71,98.30,9298.69,1625.81,1358.36,13.99,24.41,-10.48,187.68
2905.90,12.23,7717.72,1781.80,3824.59,105.06,9247.61,1645.03,1366.04,16.40,25.34,-10.09,186.15
2929.16,10.54,7673.76,1781.18,3843.01,107.08,9207.60,1659.68,1383.02,19.50,24.17,-10.57,177.22
2952.41,9.39,7636.77,1786.45,3848.20,101.72,9167.68,1669.30,1396.08,20.65,18.92,-12.87,170.51
2975.67,10.18,7591.38,1791.40,3857.40,92.54,9120.90,1681.13,1402.04,19.11,13.35,-12.21,176.53
2998.93,11.39,7535.15,1787.38,3871.84,86.63,9067.97,1690.77,1405.31,16.97,13.77,-6.91,192.25
3022.19,12.19,7477.63,1773.65,3894.55,86.84,9005.02,1688.79,1411.52,16.12,21.62,-1.27,202.58
3045.45,12.77,7416.68,1760.45,3935.80,90.04,8936.30,1675.64,1426.66,16.33,31.32,2.14,199.33
3068.71,12.46,7342.29,1757.67,3993.73,92.75,8873.52,1661.32,1449.34,16.23,35.41,4.02,190.75
3091.97,11.20,7263.58,1761.69,4040.27,93.89,8814.07,1661.29,1470.38,15.17,32.19,3.28,187.49
3115.23,10.90,7197.30,1763.88,4039.74,93.93,8753.09,1684.59,1481.85,13.67,26.31,-1.26,188.83
3138.49,12.67,7134.65,1767.89,3987.08,94.28,8698.29,1717.03,1480.66,12.67,21.93,-7.04,187.90
3161.75,14.67,7058.69,1781.25,3910.19,95.23,8649.59,1733.41,1469.53,11.84,18.82,-10.68,182.71
3185.01,14.43,6981.01,1796.77,3841.51,95.19,8599.01,1728.44,1455.79,9.66,15.66,-11.58,177.79
3208.27,11.82,6919.86,1800.51,3805.52,93.72,8548.01,1715.55,1444.72,6.36,13.60,-10.82,176.42
3231.53,8.80,6860.83,1790.73,3819.40,92.87,8490.45,1705.38,1436.27,3.86,13.33,-9.19,175.73
3254.79,6.41,6780.49,1776.85,3883.90,93.44,8401.36,1704.82,1427.30,2.74,12.73,-7.47,172.53
3278.05,3.34,6687.31,1767.10,3965.71,93.16,8273.15,1720.02,1415.34,2.78,10.83,-7.31,168.37
3301.30,-0.58,6606.02,1762.25,4006.69,91.10,8141.47,1745.76,1403.24,4.74,9.00,-10.23,165.62
3324.56,-2.75,6545.77,1757.99,3974.60,89.13,8044.75,1755.14,1397.40,8.31,8.21,-15.14,164.86
3347.82,-2.54,6501.51,1752.18,3896.69,87.75,7974.62,1764.51,1400.19,10.95,9.57,-18.21,166.78
3371.08,-1.41,6465.19,1746.76,3830.36,86.27,7897.48,1764.03,1410.00,12.01,13.88,-16.60,171.75
3394.34,-0.45,6428.04,1744.51,3804.80,86.44,7805.23,1750.79,1426.24,13.61,18.47,-12.01,178.52
3417.60,-2.05,6382.77,1752.05,3799.89,90.09,7711.00,1741.33,1447.67,16.00,19.78,-8.47,184.36
3440.86,-6.74,6329.25,1779.88,3783.60,94.18,7617.53,1741.34,1468.47,17.73,19.39,-7.47,186.46
3464.12,-10.08,6274.39,1825.53,3751.22,95.03,7525.44,1741.63,1480.37,19.34,20.75,-8.41,184.65
3487.38,-9.41,6223.44,1868.53,3716.56,95.42,7452.71,1736.64,1476.66,22.27,22.02,-10.50,181.18
3510.64,-7.64,6179.41,1881.14,3686.61,99.13,7411.25,1733.61,1455.30,25.56,21.05,-11.25,177.99
3533.90,-7.56,6144.50,1893.75,3660.49,103.14,7382.05,1737.13,1426.13,26.35,20.36,-8.86,177.06
3557.16,-9.01,6110.56,1899.42,3638.41,102.78,7346.35,1741.99,1408.31,23.82,19.38,-6.37,180.53
3580.42,-11.39,6064.58,1885.81,3618.83,98.58,7316.55,1744.24,1407.63,20.72,14.52,-6.28,187.42
3603.68,-13.26,6008.25,1860.74,3595.99,93.00,7304.97,1739.99,1407.80,19.05,9.94,-5.48,192.58
3626.94,-11.63,5954.50,1840.04,3570.20,87.50,7298.77,1721.04,1393.01,17.48,13.04,-3.54,192.08
3650.20,-6.66,5912.30,1829.60,3550.88,85.02,7288.37,1691.84,1367.55,15.19,21.51,-5.86,189.02
3673.45,-3.39,5883.53,1824.98,3541.95,87.59,7276.96,1672.45,1348.03,13.93,26.66,-11.89,190.36
3696.71,-4.71,5864.64,1823.50,3532.70,91.85,7256.63,1670.00,1341.86,14.09,25.30,-13.60,197.31
3719.97,-6.46,5855.77,1823.07,3512.23,92.93,7221.20,1670.84,1338.69,13.54,21.25,-8.36,203.39
3743.23,-3.37,5864.40,1820.89,3493.48,90.92,7193.52,1664.31,1326.16,11.45,18.75,-1.39,204.69
3766.49,3.55,5887.64,1816.80,3497.19,89.88,7197.79,1652.13,1307.47,10.63,17.33,1.82,205.85
3789.75,9.28,5912.13,1810.04,3507.94,91.11,7221.85,1637.69,1293.13,14.24,14.14,-1.04,211.12
3813.01,10.78,5936.18,1798.96,3491.33,91.80,7237.10,1620.40,1284.97,19.65,10.88,-7.34,217.08
3836.27,8.00,5963.24,1786.23,3448.62,91.45,7235.71,1600.41,1282.45,20.22,12.43,-10.87,219.76
3859.53,1.56,5982.16,1775.96,3410.98,92.96,7229.47,1584.16,1292.49,14.74,17.91,-9.08,220.87
3882.79,-6.52,5977.39,1767.91,3399.04,96.12,7225.29,1580.68,1303.65,8.25,21.82,-5.66,221.96
3906.05,-10.64,5949.05,1761.26,3412.09,97.74,7219.45,1589.15,1314.82,4.44,22.77,-3.92,220.10
3929.31,-6.18,5913.10,1758.97,3434.98,97.83,7211.42,1593.50,1329.88,3.59,22.81,-2.69,214.73
3952.57,3.72,5887.44,1760.83,3445.72,99.14,7206.53,1579.90,1320.20,6.22,22.18,-1.05,211.01
3975.83,11.71,5881.99,1758.59,3434.82,101.30,7207.09,1556.23,1295.32,13.60,20.59,-2.37,212.37
